ym,trades,wins,pnl_sum,gross_profit,gross_loss,wr,pf,dd
2019-01,64,62,1501.170000000016,1636.6800000000155,135.5099999999991,0.96875,12.077927828204755,84.02999999999838
2019-02,66,63,1271.2099999999991,1439.7799999999984,168.56999999999934,0.9545454545454546,8.541140179154084,97.34999999999997
2019-03,20,20,368.68000000000103,368.68000000000103,-0.0,1.0,,0.0
2019-04,4,4,84.96000000000022,84.96000000000022,-0.0,1.0,,0.0
2019-05,114,109,2264.5399999999872,2746.669999999991,482.1300000000039,0.956140350877193,5.69694895567579,259.47000000000264
2019-06,79,79,1741.9100000000085,1741.9100000000085,-0.0,1.0,,0.0
2019-07,146,144,3017.710000000009,3210.790000000011,193.08000000000175,0.9863013698630136,16.62932463227668,98.04000000000087
2019-08,221,207,4787.210000000006,5986.340000000018,1199.1300000000115,0.9366515837104072,4.992236037794035,599.3100000000081
2019-09,168,163,3782.349999999978,4129.629999999979,347.28000000000173,0.9702380952380952,11.891355678414993,149.67000000000053
2019-10,121,113,2626.0499999999993,3316.410000000002,690.3600000000035,0.9338842975206612,4.803884929601925,204.57000000000153
2019-11,15,15,367.4700000000019,367.47000000000196,-0.0,1.0,,0.0
2019-12,11,11,233.4600000000035,233.46000000000348,-0.0,1.0,,0.0
2020-01,73,67,821.4200000000118,1245.2000000000025,423.7799999999908,0.9178082191780822,2.9383170513002725,319.0199999999917
2020-02,164,157,3706.360000000005,4374.760000000009,668.4000000000044,0.9573170731707317,6.545122681029294,301.2600000000016
2020-03,404,351,14742.919999999982,26691.289999999983,11948.369999999999,0.8688118811881188,2.2338854588533823,2985.1199999999963
2020-04,272,252,8690.770000000013,11309.14000000001,2618.3699999999967,0.9264705882352942,4.319152755340164,729.4100000000044
2020-05,261,242,6229.930000000002,8347.06,2117.1299999999974,0.9272030651340997,3.9426298810181755,575.639999999998
2020-06,270,249,7425.220000000003,9952.329999999996,2527.1099999999938,0.9222222222222223,3.9382258785727653,1082.7099999999964
2020-07,165,155,3553.7399999999975,4470.270000000006,916.5300000000083,0.9393939393939394,4.877385355634803,514.8600000000085
2020-08,101,99,2728.709999999995,2956.4999999999914,227.7899999999965,0.9801980198019802,12.979059660213515,227.78999999999633
2020-09,198,194,6158.21999999999,6660.779999999992,502.5600000000013,0.9797979797979798,13.25370105062077,244.59000000000287
2020-10,180,173,5081.04000000001,5588.670000000018,507.63000000000824,0.9611111111111111,11.00933750960331,369.2400000000066
2020-11,176,171,5322.640000000009,5780.29000000001,457.6500000000011,0.9715909090909091,12.630372555446293,356.61000000000126
2020-12,91,90,3306.780000000001,3368.970000000004,62.19000000000306,0.989010989010989,54.172214182341826,62.19000000000301
2021-01,128,126,5689.629999999997,5873.679999999997,184.05,0.984375,31.913501765824485,97.73999999999978
