,0
rsi14,0.26276493
tf15_adx,0.1554292
tf15_sideways,0.12478725
is_midday,0.08310196
expiry_dow,0.06133805
day_atr_pct,0.060731698
intraday_range_pct,0.04694035
dist_week_high,0.03645456
tf15_trending,0.0350086
gkv,0.033180896
rsi7,0.03185758
hl_range,0.029081743
dh20,0.023419257
a10,0.021009801
is_morning,0.020404698
a14,0.019449301
dist_prev_close,0.017719273
dh5,0.015341826
zscore_50,0.0146737825
park,0.012705938
tf30_adx,0.012351578
dist_prev_high,0.012070836
tf15_atr_ratio,0.012032183
bars_below_vwap,0.011574476
tf30_ema_dist,0.011415797
day_ema_dist,0.011189882
dist_prev_low,0.010789498
tf15_diplus,0.010412596
st14,0.009964849
tf60_ema21_slope,0.009707284
tf15_diminus,0.009686056
day_ema9_dist,0.009329747
intraday_pos,0.008864507
tf15_bear_trend,0.008654093
rv20,0.00850173
prev_cp,0.007459539
bbp,0.007361311
dh10,0.007261863
dist_from_open,0.0069792727
de9,0.006899498
vol_percentile,0.006802495
tf15_bull_trend,0.0067829145
tf60_dist_from_3h_high,0.0066151097
tf60_rsi,0.0066107158
dl20,0.0065052146
dist_week_low,0.006437969
day_move_atr,0.0063801548
tf15_rsi,0.0063109724
day_ema50_dist,0.00611923
tf60_adx,0.0060762553
tf60_dist_from_3h_low,0.00606734
vwap_dist_atr,0.006006467
day_week_pos,0.0058967294
dte,0.005840187
day_rsi,0.00583463
st5,0.005538446
bbw,0.0053639673
intraday_range_atr,0.005247658
tf15_macd_hist,0.005120034
wr14,0.0050777327
is_afternoon,0.005022475
vov,0.0048610126
upper_wick,0.0048253792
dl10,0.0047486434
de21,0.004686257
tf60_ema_dist,0.0046423664
rv10,0.004459685
cci20,0.004424214
ava,0.0044241077
consec_bull,0.004399721
rv5,0.0043918174
dow,0.0043419288
tf15_ema_dist,0.004155035
ar,0.004131549
de13,0.0040825875
dist_vwap,0.004065715
tf15_bb_pos,0.004020845
tf30_rsi,0.0039851456
body_pct,0.0039734724
dte_norm,0.0038220999
tf30_close_pos,0.0037864095
zscore_20,0.0037210966
day_gap_up,0.0035685396
m9,0.0035349424
dl5,0.0034908256
tf60_trend_slope_3h,0.0033910354
tf60_close_pos,0.003383204
day_move_pct,0.003344855
body_ratio,0.003003076
close_pos,0.0029403998
mslp,0.0028847808
bars_above_vwap,0.0028434542
log_ret,0.002834478
roc,0.0026839331
day_gap_pct,0.0026544
mh,0.0026527194
m6,0.0026442013
m12,0.0025820076
eslp,0.0025466585
cmf_proxy,0.0024863905
e9s,0.0024744612
bbsq,0.0023080094
rl2,0.0022346487
lower_wick,0.002231986
day_ema_bull,0.0021435726
gap_dn,0.0021409031
inside_bar,0.0021250362
gap_up,0.002091491
rl1,0.0019789836
prev_br,0.0019034006
m24,0.0018586955
de50,0.001825158
rl5,0.0018094082
e13s,0.0017342488
de5,0.0017102927
day_gap_down,0.0016138516
tf60_consec_bear,0.001519817
rsis,0.0014586403
rl13,0.00141332
tf15_bb_squeeze,0.0013094217
m3,0.0013033862
is_expiry,0.0012532097
dow_primary,0.0012426
rl8,0.0011489528
rl3,0.0010281288
fvg_bull_prev,0.00091971335
stx,0.00082290586
vol_regime,0.00074149505
bos_bull,0.0006044951
tf60_consec_bull,0.00057731697
above_prev_high,0.00052037725
e9a21,0.00051518215
choch_bear,0.00045951572
day_big_gap,0.00041272218
tf60_bear_trend,0.00040940262
tf30_bear_trend,0.00040427895
is_bullish,0.00039381417
consec_bear,0.00037058673
bos_bear,0.00035832645
mx,0.00028235943
is_doji,0.000255469
tf30_bull_trend,0.00023160744
day_ema9_bull,0.00022108386
tf60_ema_bull,0.00020391367
fvg_bear_prev,0.0001849338
tf15_ema_bull,0.00016608193
choch_bull,0.00013573263
ob_bear,0.00012239428
tf30_ema_bull,0.00011355016
bull_eng,8.3789215e-05
above_vwap,7.623452e-05
tf60_bull_trend,7.401753e-05
below_prev_low,6.639459e-05
liq_sweep_low,6.0267375e-05
liq_sweep_high,4.406883e-05
struct_hh_hl_up,3.5589714e-05
bear_eng,2.0662403e-05
ob_bull,1.9448333e-05
is_marubozu,1.6795202e-05
dow_secondary,1.42094705e-05
below_vwap,5.673829e-06
expiry_is_tue,0.0
struct_hh_hl_down,0.0
