iter	MultiClass
0	1.089245114
1	1.080579279
2	1.072186778
3	1.064126632
4	1.056855549
5	1.049681611
6	1.043010049
7	1.036649539
8	1.032029797
9	1.027186808
10	1.023326458
11	1.018808828
12	1.013766465
13	1.00978327
14	1.006278823
15	1.001815545
16	0.9981333206
17	0.9952093272
18	0.9915626072
19	0.9886088629
20	0.9856030429
21	0.9817517278
22	0.9786949569
23	0.9762746085
24	0.9740263807
25	0.9718776464
26	0.9694997843
27	0.9673156778
28	0.9654056744
29	0.9624104532
30	0.9605471425
31	0.9590080281
32	0.9559359014
33	0.9539821957
34	0.9523098326
35	0.9506853279
36	0.9489314587
37	0.9476149987
38	0.9461190444
39	0.9436734449
40	0.9420033727
41	0.9400878164
42	0.9389863012
43	0.9366845064
44	0.9354307521
45	0.9342272617
46	0.9319480198
47	0.9308027551
48	0.928775362
49	0.9276652308
50	0.9266771682
51	0.9257070192
52	0.924793759
53	0.9233356425
54	0.9221859911
55	0.9213008531
56	0.9202607992
57	0.9195353202
58	0.9178240854
59	0.9167408923
60	0.9159102398
61	0.9153429188
62	0.9141580416
63	0.913354202
64	0.9125771916
65	0.9114392618
66	0.9107759412
67	0.9098212741
68	0.9083145902
69	0.9077637091
70	0.9073298046
71	0.906849595
72	0.9060548695
73	0.9053668549
74	0.9049239747
75	0.9040534179
76	0.9035455044
77	0.9021025974
78	0.9016115562
79	0.9009243559
80	0.9005745626
81	0.9001416831
82	0.8995684768
83	0.8981644401
84	0.8975518895
85	0.8967822246
86	0.896291302
87	0.8959373248
88	0.8954410888
89	0.8945360805
90	0.8937288505
91	0.8931484402
92	0.892711886
93	0.891774094
94	0.8914442669
95	0.8910257461
96	0.8900413471
97	0.8896782202
98	0.8894157704
99	0.8891255945
100	0.888404582
101	0.8878502425
102	0.886877144
103	0.8865107928
104	0.8862421967
105	0.8858404892
106	0.8854268465
107	0.8851387791
108	0.8848719019
109	0.8846231553
110	0.8843301562
111	0.8840323329
112	0.8836517192
113	0.8834754199
114	0.8832507014
115	0.8830971612
116	0.8828274836
117	0.8825989458
118	0.8816910369
119	0.881478342
120	0.8811665721
121	0.8808654941
122	0.8803488981
123	0.8801974365
124	0.8791811259
125	0.8789674188
126	0.878784894
127	0.8778357178
128	0.8776877857
129	0.8774402966
130	0.8772259904
131	0.877079912
132	0.8768205084
133	0.8759224269
134	0.8756988986
135	0.875545059
136	0.8754023399
137	0.875147771
138	0.8749793745
139	0.8748688767
140	0.8746400685
141	0.8744707544
142	0.8743084996
143	0.8741492694
144	0.873670425
145	0.8730195436
146	0.8727086431
147	0.8726097581
148	0.8724602431
149	0.8722493595
150	0.8721494399
151	0.8720138104
152	0.8718807109
153	0.8717846599
154	0.8715730406
155	0.87131432
156	0.8711930071
157	0.8710348788
158	0.8709161067
159	0.8707977244
160	0.8706949353
161	0.8705302493
162	0.8703228093
163	0.8702061581
164	0.8700791924
165	0.8699315466
166	0.8698264836
167	0.8697404912
168	0.8696050455
169	0.8695097772
170	0.869378751
171	0.8690775644
172	0.8688401543
173	0.8686933485
174	0.8685975053
175	0.8684188482
176	0.8682981775
177	0.8681665404
178	0.8680259663
179	0.8678923649
180	0.8675309305
181	0.8674402108
182	0.8673364436
183	0.8670072099
184	0.8669182587
185	0.8668270172
186	0.8667532174
187	0.8662029768
188	0.8655268797
189	0.8654121813
190	0.8652591426
191	0.865092773
192	0.8649435931
193	0.8647755916
194	0.8646975103
195	0.8642700545
196	0.8638601507
197	0.863721213
198	0.8636138573
199	0.8635359381
200	0.8633856605
201	0.8632850921
202	0.8631507633
203	0.8629332879
204	0.8628069922
205	0.8626984896
206	0.8625942182
207	0.8623891328
208	0.8622651541
209	0.8621797504
210	0.8621056377
211	0.8616296067
212	0.8615564248
213	0.8613507565
214	0.8612878147
215	0.8611921016
216	0.8611160574
217	0.8610463927
218	0.860949249
219	0.8608013366
220	0.8607239705
221	0.8606278163
222	0.8603347988
223	0.8602394704
224	0.8595643941
225	0.8594855756
226	0.8593774985
227	0.8592732835
228	0.8589081382
229	0.8588512066
230	0.8587855507
231	0.8587263045
232	0.8586396432
233	0.8585143036
234	0.8584456007
235	0.8583568185
236	0.8582786233
237	0.8581605758
238	0.8580854267
239	0.8580075086
240	0.8579496095
241	0.8578536514
242	0.8577966558
243	0.8577137148
244	0.8576316409
245	0.8575422306
246	0.8574836203
247	0.8574030288
248	0.857235757
249	0.8566814195
250	0.8566114981
251	0.8565409584
252	0.8564613935
253	0.8563655036
254	0.8563093942
255	0.8562184014
256	0.8561223943
257	0.8560296089
258	0.8559582534
259	0.855859957
260	0.8557720821
261	0.8556780211
262	0.8555933435
263	0.8555158272
264	0.855417938
265	0.855167093
266	0.8550455466
267	0.8549659122
268	0.8547483888
269	0.8546799681
270	0.8545701674
271	0.8542556157
272	0.8541724603
273	0.8540835687
274	0.8540131878
275	0.8539277233
276	0.8538606975
277	0.8536569875
278	0.8535657454
279	0.8534754179
280	0.8532964555
281	0.8532247205
282	0.8531722357
283	0.8530117334
284	0.8529512524
285	0.8528165966
286	0.8527534739
287	0.8524349666
288	0.8523428049
289	0.8522628803
290	0.8520607012
291	0.8519647256
292	0.8518955407
293	0.8518086252
294	0.8516844005
295	0.8515681872
296	0.851500752
297	0.8514403331
298	0.8513450212
299	0.8512793718
300	0.8512275437
301	0.8511618572
302	0.8510961053
303	0.8510513902
304	0.8510017172
305	0.8509488763
306	0.8508901307
307	0.8508226665
308	0.8507473276
309	0.8506563261
310	0.8505634187
311	0.8504926589
312	0.8503974435
313	0.8503145439
314	0.8502227395
315	0.8501284465
316	0.84982692
317	0.8497309783
318	0.8496925861
319	0.8496143474
320	0.8495298689
321	0.8494590183
322	0.8493999608
323	0.8493142769
324	0.8492591334
325	0.8492169909
326	0.8491280364
327	0.8490476734
328	0.848984956
329	0.8489134484
330	0.8488642234
331	0.8488075683
332	0.8487791975
333	0.8487123348
334	0.8486416406
335	0.8485720847
336	0.84848344
337	0.8484376891
338	0.8483896776
339	0.8481781968
340	0.8480920561
341	0.8479800448
342	0.8478772133
343	0.8478022395
344	0.8476816493
345	0.8476099354
346	0.8475375675
347	0.8474677433
348	0.8473987916
349	0.8473501646
350	0.8472777219
351	0.847212567
352	0.8471797216
353	0.8471307659
354	0.8470701502
355	0.8469797026
356	0.8469071783
357	0.8468389351
358	0.8467782186
359	0.8467159782
360	0.8466565727
361	0.8466082776
362	0.8465451306
363	0.8464491148
364	0.8464180798
365	0.8463374614
366	0.846304419
367	0.8462490123
368	0.8461829792
369	0.8461083133
370	0.8460614682
371	0.8459977507
372	0.8459154484
373	0.8458173774
374	0.8457650418
375	0.8457049303
376	0.8455962384
377	0.845540289
378	0.8454842792
379	0.8454268789
380	0.8453493538
381	0.8452761867
382	0.8452340333
383	0.8452025778
384	0.8451556941
385	0.8450964809
386	0.8450025494
387	0.8449328882
388	0.8448548143
389	0.8448156303
390	0.8447357005
391	0.8446677495
392	0.8446218795
393	0.8445506967
394	0.8445111606
395	0.8444538831
396	0.8443870548
397	0.8443273637
398	0.8442856985
399	0.8442312892
400	0.8441859401
401	0.8441369195
402	0.8440680615
403	0.8440365514
404	0.8439758319
