iter	Passed	Remaining
0	314	219566
1	567	198026
2	841	195568
3	1105	192293
4	1371	190628
5	1593	184321
6	1806	178852
7	2044	176871
8	2299	176516
9	2523	174143
10	2723	170560
11	2960	169712
12	3193	168783
13	3436	168389
14	3715	169675
15	3928	167941
16	4168	167469
17	4404	166879
18	4634	166104
19	4842	164653
20	5089	164545
21	5295	163183
22	5511	162236
23	5731	161431
24	5933	160196
25	6183	160294
26	6389	159258
27	6619	158873
28	6842	158326
29	7056	157589
30	7312	157808
31	7529	157181
32	7740	156444
33	7994	156598
34	8252	156801
35	8535	157437
36	8772	157195
37	9015	157051
38	9242	156655
39	9466	156196
40	9741	156579
41	9992	156545
42	10251	156630
43	10467	156060
44	10738	156305
45	10985	156179
46	11215	155825
47	11457	155631
48	11669	155041
49	11941	155240
50	12183	155043
51	12442	155054
52	12711	155170
53	12939	154791
54	13136	154056
55	13380	153877
56	13623	153677
57	13837	153164
58	14042	152564
59	14278	152300
60	14499	151883
61	14751	151800
62	14960	151266
63	15261	151663
64	15568	152095
65	15878	152525
66	16181	152881
67	16483	153203
68	16725	152955
69	16994	152948
70	17238	152714
71	17387	151657
72	17511	150408
73	17662	149415
74	17830	148588
75	17979	147619
76	18139	146766
77	18277	145751
78	18438	144943
79	18566	143893
80	18704	142942
81	18841	142003
82	18976	141068
83	19131	140296
84	19296	139616
85	19423	138672
86	19588	138017
87	19724	137171
88	19836	136177
89	19943	135173
90	20045	134151
91	20162	133246
92	20261	132242
93	20390	131450
94	20528	130732
95	20639	129855
96	20744	128956
97	20870	128201
98	20988	127417
99	21103	126620
100	21243	125985
101	21354	125193
102	21487	124545
103	21654	124098
104	21839	123758
105	21992	123243
106	22177	122906
107	22353	122528
108	22547	122252
109	22753	122039
110	22925	121648
111	23118	121371
112	23263	120844
113	23437	120474
114	23655	120332
115	23830	119974
116	24021	119694
117	24193	119328
118	24329	118783
119	24513	118480
120	24657	117988
121	24814	117562
122	24968	117129
123	25158	116865
124	25326	116503
125	25465	116007
126	25624	115612
127	25790	115252
128	25963	114925
129	26116	114510
130	26283	114164
131	26424	113707
132	26560	113230
133	26708	112812
134	26878	112489
135	27055	112198
136	27214	111839
137	27387	111533
138	27525	111092
139	27667	110669
140	27808	110247
141	27989	109988
142	28133	109584
143	28324	109365
144	28508	109118
145	28703	108916
146	28879	108641
147	29103	108547
148	29315	108407
149	29475	108076
150	29654	107816
151	29833	107557
152	29978	107179
153	30148	106889
154	30322	106616
155	30480	106290
156	30671	106081
157	30831	105763
158	30994	105460
159	31187	105258
160	31338	104917
161	31490	104580
162	31657	104295
163	31845	104079
164	31996	103747
165	32319	103968
166	32563	103929
167	32808	103892
168	33087	103962
169	33283	103765
170	33520	103696
171	33780	103696
172	33986	103531
173	34209	103414
174	34470	103411
175	34683	103260
176	34860	103005
177	35061	102820
178	35298	102741
179	35526	102632
180	35771	102570
181	36015	102504
182	36245	102397
183	36437	102183
184	36647	102018
185	36848	101827
186	37063	101676
187	37281	101533
188	37489	101361
189	37712	101229
190	37916	101045
191	38111	100836
192	38329	100690
193	38563	100583
194	38800	100482
195	39011	100316
196	39227	100160
197	39441	99997
198	39656	99838
199	39879	99697
200	40087	99519
201	40329	99426
202	40487	99124
203	40667	98878
204	40849	98635
205	41106	98576
206	41316	98401
207	41544	98267
208	41744	98068
209	41974	97939
210	42180	97754
211	42399	97599
212	42609	97420
213	42810	97224
214	42990	96978
215	43236	96882
216	43431	96670
217	43671	96558
218	43884	96385
219	44072	96158
220	44317	96054
