expiry_date,day_name,note
2024-01-04,Thursday,
2024-01-11,Thursday,
2024-01-18,Thursday,
2024-01-25,Thursday,
2024-02-01,Thursday,
2024-02-08,Thursday,
2024-02-15,Thursday,
2024-02-22,Thursday,
2024-02-29,Thursday,
2024-03-07,Thursday,
2024-03-13,Wednesday,Holi shift
2024-03-21,Thursday,
2024-03-28,Thursday,
2024-04-04,Thursday,
2024-04-10,Wednesday,Eid shift
2024-04-18,Thursday,
2024-04-25,Thursday,
2024-05-02,Thursday,
2024-05-09,Thursday,
2024-05-16,Thursday,
2024-05-23,Thursday,
2024-05-30,Thursday,
2024-06-06,Thursday,
2024-06-13,Thursday,
2024-06-20,Thursday,
2024-06-27,Thursday,
2024-07-04,Thursday,
2024-07-11,Thursday,
2024-07-18,Thursday,
2024-07-25,Thursday,
2024-08-01,Thursday,
2024-08-08,Thursday,
2024-08-14,Wednesday,Independence Day shift
2024-08-22,Thursday,
2024-08-29,Thursday,
2024-09-05,Thursday,
2024-09-12,Thursday,
2024-09-19,Thursday,
2024-09-26,Thursday,
2024-10-03,Thursday,
2024-10-10,Thursday,
2024-10-17,Thursday,
2024-10-24,Thursday,
2024-10-31,Thursday,
2024-11-07,Thursday,
2024-11-14,Thursday,
2024-11-21,Thursday,
2024-11-28,Thursday,
2024-12-05,Thursday,
2024-12-12,Thursday,
2024-12-19,Thursday,
2024-12-26,Thursday,
2025-01-02,Thursday,
2025-01-09,Thursday,
2025-01-16,Thursday,
2025-01-23,Thursday,
2025-01-30,Thursday,
2025-02-06,Thursday,
2025-02-13,Thursday,
2025-02-20,Thursday,
2025-02-27,Thursday,
2025-03-06,Thursday,
2025-03-13,Thursday,
2025-03-20,Thursday,
2025-03-27,Thursday,
2025-04-03,Thursday,
2025-04-09,Wednesday,Mahavir Jayanti shift
2025-04-17,Thursday,
2025-04-24,Thursday,
2025-04-30,Wednesday,Maharashtra Day shift
2025-05-08,Thursday,
2025-05-15,Thursday,
2025-05-22,Thursday,
2025-05-29,Thursday,
2025-06-05,Thursday,
2025-06-12,Thursday,
2025-06-19,Thursday,
2025-06-26,Thursday,
2025-07-03,Thursday,
2025-07-10,Thursday,
2025-07-17,Thursday,
2025-07-24,Thursday,
2025-07-31,Thursday,
2025-08-07,Thursday,
2025-08-14,Thursday,
2025-08-21,Thursday,
2025-08-28,Thursday,
2025-09-02,Tuesday,NSE switched Nifty weekly to Tuesday from Sept 2025
2025-09-09,Tuesday,
2025-09-16,Tuesday,
2025-09-23,Tuesday,
2025-09-30,Tuesday,
2025-10-07,Tuesday,
2025-10-14,Tuesday,
2025-10-21,Tuesday,
2025-10-28,Tuesday,
2025-11-04,Tuesday,
2025-11-11,Tuesday,
2025-11-18,Tuesday,
2025-11-25,Tuesday,
2025-12-02,Tuesday,
2025-12-09,Tuesday,
2025-12-16,Tuesday,
2025-12-23,Tuesday,
2025-12-30,Tuesday,
2026-01-06,Tuesday,
2026-01-13,Tuesday,
2026-01-20,Tuesday,
2026-01-27,Tuesday,
2026-02-03,Tuesday,
2026-02-10,Tuesday,
2026-02-17,Tuesday,
2026-02-24,Tuesday,
2026-03-03,Tuesday,
2026-03-10,Tuesday,
2026-03-17,Tuesday,
2026-03-24,Tuesday,
2026-03-31,Tuesday,
2026-04-07,Tuesday,
