date,expiry,ce_oi,pe_oi,pcr_oi,total_oi
2024-05-21,2024-05-23,79628750,86942325,1.0918,166571075
2024-05-21,2024-05-30,36729625,40324400,1.0979,77054025
2024-05-21,2024-06-06,4078250,3267175,0.8011,7345425
2024-05-21,2024-06-13,400525,299825,0.7486,700350
2024-05-21,2024-06-20,103550,575,0.0056,104125
2024-05-21,2024-06-27,20541050,27482375,1.3379,48023425
2024-05-21,2024-07-25,1412775,2163825,1.5316,3576600
2024-05-21,2024-09-26,681975,1349875,1.9794,2031850
2024-05-21,2024-12-26,2363775,5406850,2.2874,7770625
2024-05-21,2025-03-27,50,200,4.0,250
2024-05-21,2025-06-26,5100,1062800,208.3922,1067900
2024-05-21,2025-12-24,21400,47125,2.2021,68525
2024-05-21,2026-06-25,350,2400,6.8571,2750
2024-05-21,2026-12-31,750,32900,43.8667,33650
2024-05-21,2027-06-24,100,750,7.5,850
2024-05-21,2027-12-30,0,28550,,28550
2024-05-21,2028-06-29,0,50,,50
2024-05-21,2028-12-28,0,2650,,2650
2024-05-22,2024-05-23,87746925,101812625,1.1603,189559550
2024-05-22,2024-05-30,40598975,44889500,1.1057,85488475
2024-05-22,2024-06-06,4602300,4250525,0.9236,8852825
2024-05-22,2024-06-13,505825,629325,1.2442,1135150
2024-05-22,2024-06-20,115000,6750,0.0587,121750
2024-05-22,2024-06-27,20735750,28094300,1.3549,48830050
2024-05-22,2024-07-25,1438000,2305975,1.6036,3743975
2024-05-22,2024-09-26,691725,1373900,1.9862,2065625
2024-05-22,2024-12-26,2408350,5444850,2.2608,7853200
2024-05-22,2025-03-27,50,275,5.5,325
2024-05-22,2025-06-26,5100,1062800,208.3922,1067900
2024-05-22,2025-12-24,22025,48625,2.2077,70650
2024-05-22,2026-06-25,350,2400,6.8571,2750
2024-05-22,2026-12-31,750,32950,43.9333,33700
2024-05-22,2027-06-24,100,750,7.5,850
2024-05-22,2027-12-30,0,28550,,28550
2024-05-22,2028-06-29,0,50,,50
2024-05-22,2028-12-28,0,2675,,2675
2024-05-23,2024-05-23,148095200,166071125,1.1214,314166325
2024-05-23,2024-05-30,60673725,81199475,1.3383,141873200
2024-05-23,2024-06-06,5531800,6117000,1.1058,11648800
2024-05-23,2024-06-13,570075,880500,1.5445,1450575
2024-05-23,2024-06-20,131125,14000,0.1068,145125
2024-05-23,2024-06-27,22312250,29962650,1.3429,52274900
2024-05-23,2024-07-25,1535750,2594775,1.6896,4130525
2024-05-23,2024-09-26,727600,1408550,1.9359,2136150
2024-05-23,2024-12-26,2511325,5490500,2.1863,8001825
2024-05-23,2025-03-27,50,275,5.5,325
2024-05-23,2025-06-26,5100,1062750,208.3824,1067850
2024-05-23,2025-12-24,21900,50600,2.3105,72500
2024-05-23,2026-06-25,350,2400,6.8571,2750
2024-05-23,2026-12-31,750,33075,44.1,33825
2024-05-23,2027-06-24,100,750,7.5,850
2024-05-23,2027-12-30,0,28575,,28575
2024-05-23,2028-06-29,0,50,,50
2024-05-23,2028-12-28,0,2700,,2700
2024-05-24,2024-05-30,98571175,101441575,1.0291,200012750
2024-05-24,2024-06-06,7258150,8082725,1.1136,15340875
2024-05-24,2024-06-13,920950,1126225,1.2229,2047175
2024-05-24,2024-06-20,110850,48650,0.4389,159500
2024-05-24,2024-06-27,22961325,31392675,1.3672,54354000
2024-05-24,2024-07-04,1475,0,0.0,1475
2024-05-24,2024-07-25,1638200,2805875,1.7128,4444075
