date,expiry,strike,opt_type,open,high,low,close,settle,volume,oi,oi_change,underlying
2025-05-16,2025-05-22,25500,CE,50.0,57.35,34.2,38.05,38.05,1363261,8259000,3794325,25019.8
2025-05-16,2025-05-22,25600,CE,31.5,40.35,24.7,26.75,26.75,501613,3049725,1087650,25019.8
2025-05-16,2025-05-22,26000,CE,8.9,14.9,6.75,7.45,7.45,747866,12364575,3509325,25019.8
2025-05-16,2025-05-22,26750,CE,2.9,2.9,1.75,2.15,2.15,112876,1439175,1439175,25019.8
2025-05-16,2025-05-22,22100,PE,1.95,2.35,0.9,1.0,1.0,546503,5793375,1501875,25019.8
2025-05-16,2025-05-22,24700,CE,451.6,467.0,351.05,403.9,403.9,40173,809925,-78750,25019.8
2025-05-16,2025-05-22,25350,CE,77.05,92.65,55.15,63.7,63.7,427083,995700,522750,25019.8
2025-05-16,2025-06-05,24750,CE,582.8,586.65,530.7,570.25,570.25,141,6675,-1575,25019.8
2025-05-16,2025-06-05,25600,CE,141.7,158.15,127.5,139.3,139.3,497,14625,2025,25019.8
2025-05-16,2025-06-05,25950,CE,79.65,79.65,62.85,68.0,68.0,31,2250,2250,25019.8
2025-05-16,2025-06-05,26000,CE,62.05,69.45,51.05,58.8,58.8,7929,241950,101250,25019.8
2025-05-16,2025-06-05,25100,CE,367.55,382.0,313.8,342.0,342.0,988,39675,14100,25019.8
2025-05-16,2025-06-05,25250,CE,284.6,300.0,244.85,266.4,266.4,272,9975,8925,25019.8
2025-05-16,2025-06-05,25550,CE,156.2,160.5,143.35,153.55,153.55,194,5250,1650,25019.8
2025-05-16,2025-06-12,22450,CE,0.0,0.0,0.0,1993.85,2679.85,0,0,0,25019.8
2025-05-16,2025-06-12,22550,CE,0.0,0.0,0.0,1900.4,2581.4,0,0,0,25019.8
2025-05-16,2025-06-12,22700,CE,0.0,0.0,0.0,1762.3,2434.3,0,0,0,25019.8
2025-05-16,2025-06-12,23450,CE,0.0,0.0,0.0,1125.25,1718.55,0,0,0,25019.8
2025-05-16,2025-06-12,23600,CE,0.0,0.0,0.0,1013.05,1582.15,0,0,0,25019.8
2025-05-16,2025-06-12,24800,CE,0.0,0.0,0.0,343.35,660.85,0,0,0,25019.8
2025-05-16,2025-06-12,24850,CE,0.0,0.0,0.0,325.05,631.25,0,0,0,25019.8
2025-05-16,2025-06-12,24900,CE,536.45,543.9,499.1,543.7,602.5,48,4425,2175,25019.8
2025-05-16,2025-06-12,25650,CE,175.0,175.0,170.0,170.0,268.9,6,450,0,25019.8
2025-05-16,2025-06-12,26250,CE,0.0,0.0,0.0,78.5,121.3,0,150,0,25019.8
2025-05-16,2025-06-19,23350,CE,0.0,0.0,0.0,1908.0,1861.5,0,0,0,25019.8
2025-05-16,2025-06-19,23550,CE,0.0,0.0,0.0,1728.25,1682.05,0,0,0,25019.8
2025-05-16,2025-06-19,23900,CE,0.0,0.0,0.0,1428.15,1383.1,0,0,0,25019.8
2025-05-16,2025-06-19,25450,CE,0.0,0.0,0.0,441.7,411.95,0,0,0,25019.8
2025-05-16,2025-06-19,25800,CE,0.0,0.0,0.0,310.95,286.4,0,0,0,25019.8
2025-05-16,2025-06-19,26350,CE,0.0,0.0,0.0,167.25,150.55,0,0,0,25019.8
2025-05-16,2025-06-19,26600,CE,0.0,0.0,0.0,122.55,109.05,0,0,0,25019.8
2025-05-16,2025-06-19,26750,CE,0.0,0.0,0.0,100.8,89.0,0,0,0,25019.8
2025-05-16,2025-06-26,18000,CE,7106.6,7150.0,7073.2,7125.0,7125.0,28,93400,-450,25019.8
2025-05-16,2025-06-26,20850,CE,0.0,0.0,0.0,3359.7,4325.9,0,525,0,25019.8
2025-05-16,2025-06-26,20900,CE,0.0,0.0,0.0,3312.65,4276.3,0,600,0,25019.8
2025-05-16,2025-06-26,21350,CE,0.0,0.0,0.0,3842.65,3830.35,0,750,0,25019.8
2025-05-16,2025-06-26,21400,CE,0.0,0.0,0.0,3793.6,3780.9,0,1500,0,25019.8
2025-05-16,2025-06-26,23000,CE,2252.8,2301.65,2190.0,2249.4,2249.4,649,1330625,-2100,25019.8
