date,expiry,strike,opt_type,settle,oi,volume,underlying
2026-05-15,2026-06-02,21350,CE,2356.15,0,0,23643.5
2026-05-15,2026-05-19,23550,CE,204.2,688740,205587,23643.5
2026-05-15,2026-05-19,21600,CE,2057.4,0,0,23643.5
2026-05-15,2026-05-19,21300,CE,2357.2,0,0,23643.5
2026-05-15,2026-06-30,21050,CE,2773.95,0,0,23643.5
2026-05-15,2026-06-30,26300,PE,2483.45,0,0,23643.5
2026-05-15,2026-07-28,21250,PE,49.75,0,0,23643.5
2026-05-15,2026-07-28,21750,PE,95.6,1365,1,23643.5
2026-05-15,2026-07-28,22850,PE,308.85,1495,3,23643.5
2026-05-15,2026-07-28,24150,PE,849.1,1300,1,23643.5
2026-05-15,2026-07-28,24500,PE,1039.45,89440,442,23643.5
2026-05-15,2026-07-28,24850,PE,1282.5,390,0,23643.5
2026-05-15,2026-07-28,25650,PE,1882.4,65,0,23643.5
2026-05-15,2026-09-29,16500,PE,0.1,1365,0,23643.5
2026-05-15,2026-12-29,25500,PE,1511.75,91650,74,23643.5
2026-05-15,2026-12-29,28500,PE,4004.15,0,0,23643.5
2026-05-15,2027-03-30,21000,PE,261.4,0,0,23643.5
2026-05-15,2027-12-28,22000,PE,593.5,20695,20,23643.5
2026-05-15,2027-12-28,25500,PE,1762.4,0,0,23643.5
2026-05-15,2027-12-28,34500,PE,7784.0,0,0,23643.5
2026-05-15,2028-06-27,27000,PE,2366.95,0,0,23643.5
2026-05-15,2028-12-26,25000,PE,1470.5,5490,0,23643.5
2026-05-15,2028-12-26,26000,PE,1832.75,6680,0,23643.5
2026-05-15,2027-06-29,19000,PE,96.3,1135,0,23643.5
2026-05-15,2029-12-24,24000,PE,1096.55,65,0,23643.5
2026-05-15,2029-12-24,23000,PE,864.1,1625,0,23643.5
2026-05-15,2029-12-24,19500,PE,306.85,0,0,23643.5
2026-05-15,2029-06-26,26000,PE,1749.3,50,0,23643.5
2026-05-15,2028-12-26,27000,PE,2240.4,10760,0,23643.5
2026-05-15,2028-12-26,16500,PE,63.3,0,0,23643.5
2026-05-15,2028-06-27,34500,PE,7111.7,0,0,23643.5
2026-05-15,2028-06-27,28500,PE,3138.2,0,0,23643.5
2026-05-15,2028-06-27,18000,PE,114.4,0,0,23643.5
2026-05-15,2027-12-28,17000,PE,42.05,16840,0,23643.5
2026-05-15,2027-06-29,25500,PE,1799.25,0,0,23643.5
2026-05-15,2026-05-19,21400,CE,2257.3,0,0,23643.5
2026-05-15,2026-05-19,21750,CE,1907.5,0,0,23643.5
2026-05-15,2026-05-19,22000,CE,1621.25,18850,475,23643.5
2026-05-15,2026-05-19,22200,CE,1434.65,585,3,23643.5
2026-05-15,2026-05-19,24000,CE,39.05,10361780,4382352,23643.5
2026-05-15,2026-05-19,24350,CE,9.1,3038880,659236,23643.5
2026-05-15,2026-05-19,25600,CE,0.7,912665,32197,23643.5
2026-05-15,2026-05-19,26250,CE,0.5,59930,1511,23643.5
2026-05-15,2026-05-26,20750,CE,2930.2,65,0,23643.5
2026-05-15,2026-05-26,21750,CE,1932.5,130,1,23643.5
2026-05-15,2026-05-26,21850,CE,1833.0,195,0,23643.5
2026-05-15,2026-05-26,22350,CE,1340.65,455,0,23643.5
2026-05-15,2026-05-26,22650,CE,1055.75,1950,0,23643.5
2026-05-15,2026-05-26,23400,CE,438.2,433810,14634,23643.5
2026-05-15,2026-05-26,24500,CE,35.85,5582850,134827,23643.5
2026-05-15,2026-05-26,24950,CE,9.85,138125,7337,23643.5
2026-05-15,2026-06-02,21300,CE,2405.85,0,0,23643.5
2026-05-15,2026-06-02,22100,CE,1619.85,0,0,23643.5
2026-05-15,2026-06-02,22800,CE,983.6,975,0,23643.5
2026-05-15,2026-06-02,24350,CE,111.55,18785,864,23643.5
2026-05-15,2026-06-02,25050,CE,21.85,6955,201,23643.5
2026-05-15,2026-06-02,25100,CE,18.85,70590,2044,23643.5
2026-05-15,2026-06-02,25200,CE,14.8,52000,1863,23643.5
2026-05-15,2026-06-02,25550,CE,7.2,7410,338,23643.5
2026-05-15,2026-06-02,25700,CE,5.65,30420,291,23643.5
2026-05-15,2026-06-09,22200,CE,1566.25,0,0,23643.5
2026-05-15,2026-06-09,24600,CE,107.9,13000,259,23643.5
2026-05-15,2026-06-09,24900,CE,55.95,16380,172,23643.5
2026-05-15,2026-06-09,25000,CE,47.65,64025,1353,23643.5
2026-05-15,2026-06-09,25200,CE,30.65,19370,430,23643.5
2026-05-15,2026-06-09,25550,CE,26.05,585,27,23643.5
2026-05-15,2026-06-09,25950,CE,8.0,2470,74,23643.5
2026-05-15,2026-06-16,21900,CE,1894.2,0,0,23643.5
2026-05-15,2026-06-16,22000,CE,1801.25,0,0,23643.5
2026-05-15,2026-06-16,22150,CE,1664.05,0,0,23643.5
2026-05-15,2026-06-16,22500,CE,1357.25,0,0,23643.5
2026-05-15,2026-06-16,22800,CE,1113.25,0,0,23643.5
2026-05-15,2026-06-16,23400,CE,695.2,0,0,23643.5
2026-05-15,2026-06-16,24300,CE,234.7,520,16,23643.5
2026-05-15,2026-06-16,25200,CE,83.3,0,0,23643.5
2026-05-15,2026-06-16,26050,CE,20.3,0,0,23643.5
2026-05-15,2026-06-30,18000,CE,5787.65,15320,0,23643.5
2026-05-15,2026-06-30,21850,CE,2020.6,910,0,23643.5
2026-05-15,2026-06-30,21950,CE,1930.55,325,2,23643.5
2026-05-15,2026-06-30,22100,CE,1761.75,1690,3,23643.5
2026-05-15,2026-06-30,22600,CE,1380.85,1235,0,23643.5
2026-05-15,2026-06-30,23200,CE,903.35,16705,49,23643.5
2026-05-15,2026-06-30,23300,CE,833.05,23790,114,23643.5
2026-05-15,2026-06-30,23650,CE,626.25,8775,123,23643.5
2026-05-15,2026-06-30,23700,CE,597.4,94120,2648,23643.5
2026-05-15,2026-06-30,24150,CE,386.25,14950,65,23643.5
2026-05-15,2026-06-30,24850,CE,156.6,24570,377,23643.5
2026-05-15,2026-06-30,26050,CE,25.05,24050,20,23643.5
2026-05-15,2026-06-30,31000,CE,3.0,83490,90,23643.5
2026-05-15,2026-07-28,22300,CE,1809.35,65,0,23643.5
2026-05-15,2026-07-28,23150,CE,1194.0,325,0,23643.5
2026-05-15,2026-07-28,23650,CE,814.85,910,7,23643.5
2026-05-15,2026-07-28,23800,CE,735.25,14755,340,23643.5
2026-05-15,2026-07-28,24850,CE,285.9,2470,17,23643.5
2026-05-15,2026-07-28,24950,CE,265.8,3055,55,23643.5
2026-05-15,2026-09-29,15000,CE,8998.45,0,0,23643.5
2026-05-15,2026-09-29,19500,CE,4623.4,0,0,23643.5
2026-05-15,2026-12-29,15000,CE,9229.65,0,0,23643.5
2026-05-15,2026-12-29,16500,CE,7789.7,0,0,23643.5
2026-05-15,2026-12-29,20000,CE,4544.05,146980,420,23643.5
2026-05-15,2027-06-29,34500,CE,106.0,0,0,23643.5
2026-05-15,2028-06-27,28500,CE,1888.05,0,0,23643.5
2026-05-15,2028-12-26,21000,CE,6350.7,0,0,23643.5
2026-05-15,2028-12-26,28500,CE,2463.2,0,0,23643.5
2026-05-15,2029-06-26,18000,CE,9049.75,0,0,23643.5
2026-05-15,2029-06-26,21000,CE,6923.5,0,0,23643.5
2026-05-15,2029-06-26,22500,CE,5970.75,0,0,23643.5
2026-05-15,2029-12-24,15000,CE,11772.4,0,0,23643.5
2026-05-15,2030-12-31,33000,CE,3166.2,0,0,23643.5
2026-05-15,2026-05-19,22300,PE,2.45,3499600,344931,23643.5
2026-05-15,2026-05-19,24100,PE,489.2,258050,46140,23643.5
2026-05-15,2026-05-19,24650,PE,1009.85,6565,35,23643.5
2026-05-15,2026-05-19,24700,PE,1084.45,33865,433,23643.5
2026-05-15,2026-05-19,25900,PE,2239.85,195,0,23643.5
2026-05-15,2026-05-19,25950,PE,2289.85,0,0,23643.5
2026-05-15,2026-05-19,26150,PE,2489.7,0,0,23643.5
2026-05-15,2026-05-19,26250,PE,2589.65,0,0,23643.5
2026-05-15,2026-05-26,20350,PE,2.15,1365,8,23643.5
2026-05-15,2026-05-26,20400,PE,2.6,20670,379,23643.5
2026-05-15,2026-05-26,20500,PE,3.0,861055,17305,23643.5
