feature,ic,q,mi,imp,stab,captured_pct,clears_friction,category
tf15_sideways,0.002469765671809921,0.29946690772590023,0.01873140029677689,0.074484795,0.6666666666666666,0.0004882919495776566,False,D_noise
rsi14,0.0035827662045221555,0.13044765510006118,0.018530355122296616,0.03949193,0.6666666666666666,0.000708340841746749,False,D_noise
tf15_adx,0.002977149018135578,0.21132555313571919,0.028660014485987872,0.030721972,0.6666666666666666,0.0005886055972197953,False,D_noise
is_midday,-0.012847798015999936,1.0971506667444127e-08,0.010526285872214158,0.029069286,0.8333333333333334,0.002540109943472961,False,D_noise
tf15_trending,1.0131190536608538e-05,0.9963038858931397,0.010658533027597894,0.022987513,0.5,2.0030154419621474e-06,False,D_noise
is_afternoon,0.026128271895876246,1.0992964366971704e-31,0.0023446795399593157,0.02230475,1.0,0.005165763282223808,False,B_weak
a10,0.01038814830411031,4.402746432404199e-06,0.01380506016159111,0.020094708,1.0,0.002053817998125548,False,C_redundant
dist_week_high,0.010512778209509008,3.3961761813600043e-06,0.0133780327764208,0.020054704,0.8333333333333334,0.00207845830314615,False,D_noise
intraday_range_pct,0.024598348405383833,2.869776569882614e-28,0.027604289618357924,0.019761909,1.0,0.004863285467261819,False,B_weak
vix_level,0.010800110328190017,1.8344494540856234e-06,0.04770284569674854,0.018893471,0.8333333333333334,0.002135266105606296,False,D_noise
gkv,0.009862537344264288,1.3731451289206352e-05,0.013372289689635775,0.018410912,1.0,0.00194990060902583,False,C_redundant
day_atr_pct,0.010679662154630693,2.3694627439416757e-06,0.051411075364400816,0.018008104,1.0,0.0021114525616083147,False,D_noise
is_morning,-0.01374786674341188,9.489317126223653e-10,0.004091926247832278,0.017102297,1.0,0.0027180605558238813,False,D_noise
tf15_bear_trend,-0.017788628719601712,1.6212813340579e-15,0.010319751081843132,0.0152786905,1.0,0.00351695073623807,False,B_weak
park,0.01094175166772974,1.330270184072747e-06,0.009542407312639556,0.014810257,0.8333333333333334,0.0021632697039290303,False,D_noise
vix_regime,0.012204494957462213,6.108357699335178e-08,0.010249969687371907,0.014572104,0.8333333333333334,0.0024129239078874644,False,D_noise
a14,0.009416112447022897,3.405610699917973e-05,0.013130585231429404,0.014069284,0.8333333333333334,0.0018616389225419227,False,D_noise
dh20,0.006860056795691456,0.0030224600611365913,0.016452194525818253,0.013575558,0.8333333333333334,0.0013562867705286636,False,D_noise
rsi7,-0.009787899678569932,1.5935928752487517e-05,0.007949762373837377,0.012559545,1.0,0.0019351441599789396,False,D_noise
dow_secondary,0.02058822231046046,3.0072473426135505e-20,0.007458474687824124,0.012471946,1.0,0.004070452239683835,False,B_weak
tf60_ema21_slope,0.020867447484453704,9.16092841917177e-21,0.039620609496241466,0.012231697,1.0,0.004125657235905361,False,B_weak
hl_range,0.008751104793107783,0.00012323115892246616,0.0059733247611599705,0.011972639,0.8333333333333334,0.0017301617190482361,False,D_noise
zscore_50,0.020578968161648267,3.013203947154686e-20,0.01457752265178125,0.010965812,1.0,0.004068622622236008,False,B_weak
tf60_ema_dist,0.01584185960521524,1.4841615124205711e-12,0.03579548600711546,0.010697876,1.0,0.003132059287996053,False,B_weak
tf15_bull_trend,0.01763410936709421,2.8276499130885716e-15,0.004241041783814348,0.010494402,1.0,0.003486401054240072,False,B_weak
tf30_ema_dist,0.029864562310090614,6.62127000018415e-41,0.030964468643703613,0.010465107,1.0,0.0059044570584669874,False,B_weak
dist_prev_high,0.021843137793723117,1.3082308214164915e-22,0.014405183628700913,0.00837185,1.0,0.004318558825207981,False,B_weak
dh5,-0.015749080411830374,1.9554454655815066e-12,0.0072514160143566375,0.0078267,1.0,0.0031137161173320368,False,B_weak
dow_primary,0.01974150914824556,8.97442364657976e-19,0.012222301455620421,0.0077535156,1.0,0.003903050439006934,False,B_weak
zscore_20,0.005155062931522163,0.02896329673825366,0.009960433643465771,0.007134274,0.6666666666666666,0.0010191961762849356,False,C_redundant
bbp,0.005155062996014836,0.02896329673825366,0.009960433643465771,0.0068085003,0.6666666666666666,0.0010191961890356404,False,C_redundant
tf60_dist_from_3h_high,0.01425451116207224,2.147831725388158e-10,0.03154118730251754,0.0067155813,1.0,0.0028182281116993385,False,D_noise
vwap_session,-0.003628559159498776,0.12669687671318572,0.029986964137823646,0.0064766137,0.8333333333333334,0.0007173944663548154,False,C_redundant
de21,0.013542555069724646,1.7023620031268386e-09,0.0045337411822998774,0.0060658795,1.0,0.002677468835499935,False,D_noise
day_prev_low,-0.00415594395197223,0.08250702343148886,0.04933559193462722,0.005879298,0.8333333333333334,0.0008216625560095532,False,C_redundant
e9a21,0.020285872402325506,1.0069160043913741e-19,0.0068222177424466235,0.00585983,1.0,0.004010675303036379,False,B_weak
tf60_ema_bull,0.0006954588015131047,0.7838039945328312,0.006360383037279593,0.0056514014,0.6666666666666666,0.0001374976330418078,False,D_noise
day_prev_close,-0.004210521975286101,0.07852553738412742,0.05043677424428861,0.0056376075,0.8333333333333334,0.0008324530571944267,False,C_redundant
de9,-0.002247180883442431,0.3498088423605217,0.002789236112851423,0.005601906,0.5,0.0004442851996665838,False,C_redundant
de13,0.0046042343776070615,0.051915273341164615,0.004770029027067135,0.005526525,0.6666666666666666,0.0009102930720170962,False,C_redundant
day_ema_dist,-0.002154016343042803,0.37105031720586673,0.05330187557676358,0.005165364,1.0,0.00042586584289015604,False,D_noise
day_ema9_dist,-0.0003525072109817435,0.8853394386165341,0.04832520229660031,0.0050282883,0.5,6.969342689272957e-05,False,D_noise
tf30_adx,0.000780822614560221,0.7581567194240584,0.021485609281736373,0.004976339,0.6666666666666666,0.00015437472513678895,False,D_noise
vix_pct20,0.0015008827735845138,0.5459529119716556,0.0029031746517453882,0.004905318,0.5,0.0002967362385695618,False,C_redundant
tf15_rsi,0.023381113378358995,1.0710709278492028e-25,0.019165741865298624,0.004612652,1.0,0.00462262860202788,False,B_weak
tf15_diminus,-0.023150259909228785,3.160218853265023e-25,0.01719650522476157,0.004501605,1.0,0.0045769870693938355,False,B_weak
tf15_diplus,0.02340395393213665,1.0100488890633144e-25,0.017094476765135314,0.0044887187,1.0,0.004627144357777838,False,B_weak
vix_rank_30d,0.0028006033759461137,0.23783411510008173,0.003254848885254402,0.0042854785,0.6666666666666666,0.0005537011458388031,False,D_noise
tf15_ema_dist,0.026494006063705437,1.5929559515031995e-32,0.024554150654599427,0.0042657517,1.0,0.005238071781720283,False,B_weak
st14,0.002719344854743344,0.25137880820158587,0.009290424268093789,0.0041417503,0.6666666666666666,0.0005376357019828196,False,D_noise
dh10,-0.007004112792353008,0.0024892488220498304,0.00729096862452816,0.0041377307,0.8333333333333334,0.0013847677654105273,False,D_noise
rv20,0.006348667642540083,0.006357709657445711,0.01240361587269767,0.004125761,0.6666666666666666,0.0012551811436121807,False,D_noise
mx,-0.007423405600478811,0.0012916389282055566,0.003450356160710877,0.004091557,0.6666666666666666,0.0014676652261131863,False,D_noise
week_low,-0.004238006790204674,0.07688143443750808,0.036293504702972434,0.00408416,0.8333333333333334,0.0008378870196199131,False,D_noise
vix_danger,0.011961853865305214,1.1211499353093833e-07,0.007482962967656492,0.004069267,0.8333333333333334,0.002364951870179868,False,D_noise
bars_below_vwap,-0.01792566164931225,1.007507222084597e-15,0.004902132920021174,0.0040448466,1.0,0.0035440432159694205,False,B_weak
tf15_atr_ratio,0.008816600561337293,0.0001108907672641672,0.014724809330076472,0.003902272,0.8333333333333334,0.0017431107436147804,False,D_noise
volume,-0.0038482537171473648,0.10463628177029943,0.0028859680178299207,0.003898479,1.0,0.0007608297950948152,False,D_noise
day_prev_high,-0.003931155821960567,0.09840618324920393,0.05264667648255594,0.003889432,0.8333333333333334,0.000777220188258578,False,C_redundant
week_high,-0.003677242375308034,0.12269219524495555,0.04331246429844504,0.0038840512,0.8333333333333334,0.0007270195180876755,False,C_redundant
bos_bear,0.012200267850138294,6.108357699335178e-08,0.0014759951839631302,0.00388186,0.8333333333333334,0.0024120881757773984,False,D_noise
e9s,0.02009731414350431,2.0600499443081131e-19,0.002787769778341609,0.00381877,1.0,0.003973395863590087,False,B_weak
wr14,0.0027147675539136115,0.25137880820158587,0.008707230623915319,0.0037912591,0.6666666666666666,0.0005367307338834307,False,C_redundant
day_rsi,-0.003335984787532906,0.16137427757379655,0.04680990883650282,0.0037229084,1.0,0.0006595502295050175,False,D_noise
bars_above_vwap,0.027753504270451652,1.4963373346170874e-35,0.0,0.0037076778,1.0,0.0054870844074448024,False,B_weak
vix_zscore_20d,0.000878325497990508,0.7359709183482416,0.04981157865373764,0.0037051481,0.5,0.00017365180619068822,False,D_noise
