time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,brain,calibrator
2026-01-12 12:35:00,2026,CALL,TRAIL_SL,989.3939601961443,1072.872591628202,83.47863143205755,1026.6750000000047,72.53207932245277,89.03781150134819,0.12812846232057767,53.7,True,2026-01-12 12:20:00,15.0,7,lgb,platt
2026-01-21 13:10:00,2026,CALL,TRAIL_SL,3174.839718103068,3298.8956540325944,124.05593592952607,3002.024999999967,161.93757842423474,212.68981925550543,0.12252495817979173,78.8,True,2026-01-21 12:25:00,45.0,7,lgb,platt
2026-01-21 14:00:00,2026,CALL,SL,-2867.2802765279184,-2750.717148633803,116.5631278941154,-2902.2499999999764,164.3208200735371,122.00209470994014,0.12252495817979173,89.3,False,2026-01-21 13:10:00,50.0,7,lgb,platt
2026-01-22 11:05:00,2026,CALL,SL,-2673.035035820484,-2570.3028738808553,102.732161939629,-2733.2499999999527,132.72298974774822,93.17986861111967,0.10411618155239576,84.1,False,2026-01-22 10:40:00,25.0,7,lgb,platt
2026-01-27 11:25:00,2026,CALL,BE_SL,-1446.5357315948072,-1288.217005713468,158.31872588133922,97.5,253.34717069942963,233.52844753460704,1.1203264046281967,90.0,False,2026-01-27 10:40:00,45.0,7,lgb,platt
2026-01-27 13:35:00,2026,CALL,TRAIL_SL,-980.8583077836312,-844.4060654320219,136.45224235160927,1216.8076171875236,202.88856793577907,189.89770539067104,1.1203264046281967,77.5,True,2026-01-27 12:45:00,50.0,7,lgb,platt
2026-02-03 11:10:00,2026,CALL,FLOOD_EXIT,-1221.9927913302752,-1094.3107176251851,127.68207370509002,-458.30078125,184.00816619479156,167.17261669286563,0.7630937883714338,90.0,False,2026-02-03 10:40:00,30.0,7,lgb,platt
2026-03-02 12:35:00,2026,PUT,TP,1069.5250522441675,1234.139831710463,164.61477946629554,3535.9999999999764,259.4688113352222,278.45557797692163,1.2474941008296168,54.4,True,2026-03-02 11:30:00,65.0,7,lgb,platt
2026-03-02 14:00:00,2026,PUT,TRAIL_SL,-578.1302319751584,-444.56290506776895,133.56732690738943,1584.375,195.1487367836271,188.3093074748922,1.2474941008296168,47.8,True,2026-03-02 13:20:00,40.0,7,lgb,platt
2026-03-02 14:45:00,2026,CALL,TRAIL_SL,-614.9487379934042,-506.62561199375887,108.32312599964524,1612.6347656249527,138.7180380140544,130.92379782953503,1.2474941008296168,84.9,True,2026-03-02 14:15:00,30.0,7,lgb,platt
2026-03-02 15:20:00,2026,CALL,SQUARE_OFF,-4293.937353265552,-4196.52007869965,97.41727456590132,-256.7626953125,125.95949004807335,61.397642683463346,1.2474941008296168,90.0,False,2026-03-02 14:45:00,35.0,7,lgb,platt
2026-03-09 10:35:00,2026,PUT,BE_SL,-81.05972309337363,61.20273474082751,142.26245783420114,97.5,213.04915270343918,213.99073323791345,0.3774198298102582,90.0,False,2026-03-09 10:25:00,10.0,7,lgb,platt
2026-03-09 10:50:00,2026,PUT,BE_SL,-96.7692552722676,35.967133407011715,132.73638867927932,97.5,191.76040892161654,192.31374943557057,0.3774198298102582,90.0,False,2026-03-09 10:35:00,15.0,7,lgb,platt
2026-03-09 11:50:00,2026,PUT,FLOOD_EXIT,-118.65620903105588,19.51531159332262,138.1715206243785,39.00000000002365,204.0046408516355,204.30487641460968,0.3774198298102582,90.0,False,2026-03-09 11:45:00,5.0,7,lgb,platt
2026-03-10 11:20:00,2026,CALL,FLOOD_EXIT,-553.2320142254136,-410.30106086207525,142.93095336333843,528.125,216.0444567317245,209.7321327184618,0.9127073290026293,90.0,False,2026-03-10 10:40:00,40.0,7,lgb,platt
2026-03-12 11:20:00,2026,CALL,SL,-3110.1875755948663,-2944.1700106729877,166.01756492187857,-2925.0,275.87028266361085,230.57535942248796,0.2284161843179514,90.0,False,2026-03-12 11:00:00,20.0,7,lgb,platt
2026-03-12 11:25:00,2026,CALL,DAILY_CAP,-179.29062165854614,-12.734914867596672,166.55570679094947,-6.500000000023647,267.7781148237209,267.5821930565271,0.2284161843179514,90.0,False,2026-03-12 11:20:00,5.0,7,lgb,platt
2026-03-13 11:15:00,2026,PUT,FLOOD_EXIT,-19.76706135693351,141.72080403423934,161.48786539117285,180.3750000000946,255.91999940897222,258.10031947103744,0.25370469301610066,90.0,False,2026-03-13 10:45:00,30.0,7,lgb,platt
2026-03-16 10:10:00,2026,CALL,SL,-2910.2462652442628,-2791.80223897014,118.4440262741227,-2925.0,168.67036875025406,125.71956507379036,0.31406516476318047,90.0,False,2026-03-16 09:35:00,35.0,7,lgb,platt
2026-03-17 10:55:00,2026,CALL,FLOOD_EXIT,598.1919763579032,678.3001479516679,80.10817159376471,771.875,49.248825602511715,59.68421249407584,0.216025,90.0,False,2026-03-17 10:25:00,30.0,7,lgb,platt
2026-03-18 11:30:00,2026,CALL,FLOOD_EXIT,2294.808724940567,2452.2279933152367,157.41926837466977,2219.7500000000946,239.4637888113266,277.1903733238687,0.17561778638578893,79.3,True,2026-03-18 10:40:00,50.0,7,lgb,platt
2026-03-19 13:40:00,2026,PUT,BE_SL,-227.10329565451082,-67.7785146972019,159.32478095730892,97.5,251.732376426442,250.68963004648504,0.24445463256199448,73.9,False,2026-03-19 11:15:00,145.0,7,lgb,platt
2026-03-20 09:45:00,2026,CALL,SL,-3080.032357148002,-2919.31386856726,160.71848858074196,-2925.0,263.9045886892727,218.9920676343918,0.24804726209382688,90.0,False,2026-03-20 09:30:00,15.0,7,lgb,platt
2026-03-23 12:10:00,2026,PUT,FLOOD_EXIT,-505.0649466962615,-358.6345043198344,146.43044237642707,-71.49999999990541,223.73058039833268,218.21312648571984,0.4234836663163435,90.0,False,2026-03-23 11:00:00,70.0,7,lgb,platt
2026-03-24 10:00:00,2026,CALL,BE_SL,-228.74359367808148,-110.86798777594595,117.87560590213553,97.5,158.89062779549567,157.1849664450965,0.6412583078151555,90.0,False,2026-03-24 09:45:00,15.0,7,lgb,platt
