time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,brain,calibrator
2025-04-01 12:40:00,2025,PUT,FLOOD_EXIT,-665.7324677516481,-574.415190910604,91.31727684104413,-589.8749999999291,100.78570771959858,91.94855093635852,0.1540218860052448,54.7,False,2025-04-01 12:10:00,30.0,4,xgb,isotonic
2025-04-04 11:25:00,2025,PUT,BE_SL,-16.67987396925993,80.43331449918696,97.1131884684469,97.5,111.70968723123406,112.94712283891386,0.11171101724160706,69.9,False,2025-04-04 11:00:00,25.0,4,xgb,isotonic
2025-04-04 11:30:00,2025,PUT,FLOOD_EXIT,-315.8495342266976,-219.37488856889104,96.47464565780655,-234.00000000002365,111.22838794321069,107.85338965753544,0.11171101724160706,69.1,False,2025-04-04 11:25:00,5.0,4,xgb,isotonic
2025-04-08 13:35:00,2025,CALL,BE_SL,-105.06034181819643,23.995645146678726,129.05598696487516,97.5,183.54253966842407,183.91170343991143,0.3632433959509048,90.0,False,2025-04-08 13:15:00,20.0,4,xgb,isotonic
2025-04-11 13:30:00,2025,CALL,BE_SL,-188.7258941094409,-22.94713685775605,165.77875725168485,97.5,266.0676641549344,265.7146312801997,0.21277327161454898,90.0,False,2025-04-11 11:25:00,125.0,4,xgb,isotonic
2025-04-25 12:55:00,2025,PUT,SL,-2463.436314432782,-2346.914193098837,116.5221213339449,-2622.7500000000236,162.94785981026507,126.8414876087445,0.15186071352738734,80.7,False,2025-04-25 12:15:00,40.0,4,xgb,isotonic
2025-05-12 15:20:00,2025,CALL,SQUARE_OFF,9341.180048055921,9490.602520488746,149.42247243282551,8313.499999999976,199.1977722424799,345.20704178846063,0.22195513573347692,90.0,True,2025-05-12 10:55:00,265.0,4,xgb,isotonic
2025-05-13 12:00:00,2025,CALL,SL,-2864.9832042035546,-2753.0882380424373,111.89496616111708,-2925.0,153.85676074520597,111.50155708301463,0.19846633586336296,90.0,False,2025-05-13 11:25:00,35.0,4,xgb,isotonic
2025-05-15 12:10:00,2025,CALL,BE_SL,-1187.242136917957,-1070.49009885769,116.75203806026693,97.5,159.41443670603803,142.94535826207357,0.7237748988716955,90.0,False,2025-05-15 11:15:00,55.0,4,xgb,isotonic
2025-05-23 13:40:00,2025,CALL,BE_SL,-134.4850603010248,7.998136365604296,142.48319666662908,97.5,213.713091898946,213.83614015072453,0.16061824791881057,76.3,False,2025-05-23 11:50:00,110.0,4,xgb,isotonic
2025-06-13 13:50:00,2025,CALL,TRAIL_SL,579.0007819561694,714.1551199788046,135.15433802263524,722.4749999999858,195.0329325985167,206.01993444434447,0.14141569692489842,33.8,True,2025-06-13 12:25:00,85.0,4,xgb,isotonic
