p_call,p_put,p_skip
0.23551486,0.28247517,0.48200995
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23663415,0.29065984,0.47270602
0.23647596,0.27954704,0.48397696
0.23647596,0.27954704,0.48397696
0.23663415,0.29065984,0.47270602
0.23647596,0.27954704,0.48397696
0.23647596,0.27954704,0.48397696
0.23663415,0.29065984,0.47270602
0.23647596,0.27954704,0.48397696
0.23663415,0.29065984,0.47270602
0.23647596,0.27954704,0.48397696
0.23647596,0.27954704,0.48397696
0.23663415,0.29065984,0.47270602
0.23647596,0.27954704,0.48397696
0.23647596,0.27954704,0.48397696
0.23647596,0.27954704,0.48397696
0.23647596,0.27954704,0.48397696
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.23663415,0.29065984,0.47270602
0.2364468,0.27951476,0.48403844
0.2364468,0.27951476,0.48403844
0.2364468,0.27951476,0.48403844
0.2364468,0.27951476,0.48403844
0.2350774,0.28394252,0.48098007
0.2350774,0.28394252,0.48098007
0.2350774,0.28394252,0.48098007
0.2364468,0.27951476,0.48403844
0.2364468,0.27951476,0.48403844
0.23663415,0.29065984,0.47270602
0.23662685,0.28736076,0.47601238
0.23073387,0.2895791,0.47968706
0.23326881,0.28177404,0.48495713
0.23326881,0.28177404,0.48495713
0.23541345,0.28098586,0.48360062
0.23326881,0.28177404,0.48495713
0.23826441,0.28577298,0.47596267
0.2354414,0.2809756,0.48358294
0.23326881,0.28177404,0.48495713
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23826441,0.28577298,0.47596267
0.23464137,0.28279793,0.48256072
0.23464137,0.28279793,0.48256072
0.23464137,0.28279793,0.48256072
0.23464137,0.28279793,0.48256072
0.23464137,0.28279793,0.48256072
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23677361,0.29060677,0.47261968
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2355709,0.27983543,0.48459372
0.23658614,0.27946374,0.4839501
0.23658614,0.27946374,0.4839501
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23575777,0.2909935,0.47324866
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23662685,0.28736076,0.47601238
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2355709,0.27983543,0.48459372
0.23658614,0.27946374,0.4839501
0.23658614,0.27946374,0.4839501
0.23658614,0.27946374,0.4839501
0.23658614,0.27946374,0.4839501
0.23652439,0.2833554,0.48012024
0.23747829,0.28449816,0.4780235
0.23747829,0.28449816,0.4780235
0.23747829,0.28449816,0.4780235
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.2398856,0.2833589,0.47675553
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.2350912,0.29124734,0.47366145
0.23818798,0.28399172,0.47782028
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23723494,0.28285542,0.47990963
0.23723494,0.28285542,0.47990963
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23365645,0.28057936,0.48576424
0.23365645,0.28057936,0.48576424
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.2338133,0.29173392,0.4744528
0.235949,0.2833323,0.48071873
0.2350912,0.29124734,0.47366145
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23286226,0.28877786,0.47835985
0.23286226,0.28877786,0.47835985
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23073387,0.2895791,0.47968706
0.23073387,0.2895791,0.47968706
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.235949,0.2833323,0.48071873
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23073387,0.2895791,0.47968706
0.23286226,0.28877786,0.47835985
0.23312025,0.28182864,0.48505113
0.23312025,0.28182864,0.48505113
0.23312025,0.28182864,0.48505113
0.23310049,0.2911334,0.4757661
0.23310049,0.2911334,0.4757661
0.23628129,0.2894191,0.47429955
0.23716109,0.28677332,0.47606558
0.23716109,0.28677332,0.47606558
0.23716109,0.28677332,0.47606558
0.23716109,0.28677332,0.47606558
0.23716109,0.28677332,0.47606558
0.23716109,0.28677332,0.47606558
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23464137,0.28279793,0.48256072
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23560001,0.27986777,0.48453224
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2355709,0.27983543,0.48459372
0.23477484,0.28596583,0.4792593
0.2355709,0.27983543,0.48459372
0.2355709,0.27983543,0.48459372
0.23484321,0.28397936,0.48117745
0.23484321,0.28397936,0.48117745
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23662685,0.28736076,0.47601238
0.23662685,0.28736076,0.47601238
0.23575777,0.2909935,0.47324866
0.23073387,0.2895791,0.47968706
0.23662685,0.28736076,0.47601238
0.23575777,0.2909935,0.47324866
0.2350912,0.29124734,0.47366145
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.2355709,0.27983543,0.48459372
0.2355709,0.27983543,0.48459372
0.2389289,0.27925172,0.48181936
0.23299608,0.2814286,0.48557532
0.23299608,0.2814286,0.48557532
0.23073387,0.2895791,0.47968706
0.23073387,0.2895791,0.47968706
0.23575777,0.2909935,0.47324866
0.23289001,0.28876743,0.47834253
0.23575777,0.2909935,0.47324866
0.23289001,0.28876743,0.47834253
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23286226,0.28877786,0.47835985
0.23312025,0.28182864,0.48505113
0.23312025,0.28182864,0.48505113
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23541345,0.28098586,0.48360062
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23738387,0.28610328,0.47651282
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2364604,0.284878,0.47866166
0.2364604,0.284878,0.47866166
0.23579244,0.2851272,0.4790804
0.23493372,0.28011167,0.48495454
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23560001,0.27986777,0.48453224
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2350912,0.29124734,0.47366145
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2350912,0.29124734,0.47366145
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.2398856,0.2833589,0.47675553
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.23818798,0.28399172,0.47782028
0.2350912,0.29124734,0.47366145
0.23818798,0.28399172,0.47782028
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.235949,0.2833323,0.48071873
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.23365645,0.28057936,0.48576424
0.23365645,0.28057936,0.48576424
0.2338133,0.29173392,0.4744528
0.23365645,0.28057936,0.48576424
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.23575777,0.2909935,0.47324866
0.23073387,0.2895791,0.47968706
0.23073387,0.2895791,0.47968706
0.23073387,0.2895791,0.47968706
0.23073387,0.2895791,0.47968706
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23493372,0.28011167,0.48495454
0.2350912,0.29124734,0.47366145
0.23365645,0.28057936,0.48576424
0.23365645,0.28057936,0.48576424
0.2350912,0.29124734,0.47366145
0.2338133,0.29173392,0.4744528
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.23200428,0.2856663,0.48232943
0.2338133,0.29173392,0.4744528
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.2336275,0.2805468,0.48582566
0.23377575,0.2878475,0.47837675
0.23377575,0.2878475,0.47837675
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.23365645,0.28057936,0.48576424
0.23365645,0.28057936,0.48576424
0.23365645,0.28057936,0.48576424
0.23365645,0.28057936,0.48576424
0.23365645,0.28057936,0.48576424
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.23365645,0.28057936,0.48576424
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.235949,0.2833323,0.48071873
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.2338133,0.29173392,0.4744528
0.24101284,0.28145444,0.47753266
0.23878759,0.28227967,0.47893277
0.24343294,0.28203648,0.47453058
0.24197625,0.28257954,0.47544426
0.24197625,0.28257954,0.47544426
0.24197625,0.28257954,0.47544426
0.24197625,0.28257954,0.47544426
0.24197625,0.28257954,0.47544426
0.24197625,0.28257954,0.47544426
0.24197625,0.28257954,0.47544426
0.24197625,0.28257954,0.47544426
0.24494709,0.28147206,0.47358087
0.2417903,0.28869656,0.4695131
0.2417903,0.28869656,0.4695131
0.24494709,0.28147206,0.47358087
0.24494709,0.28147206,0.47358087
0.24494709,0.28147206,0.47358087
0.24494709,0.28147206,0.47358087
0.24494709,0.28147206,0.47358087
0.24494709,0.28147206,0.47358087
0.24494709,0.28147206,0.47358087
0.24494709,0.28147206,0.47358087
0.24494709,0.28147206,0.47358087
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.23317246,0.2919779,0.4748496
0.2353041,0.28357142,0.48112446
0.2353041,0.28357142,0.48112446
0.24101284,0.28145444,0.47753266
0.24101284,0.28145444,0.47753266
0.24101284,0.28145444,0.47753266
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23500484,0.29143494,0.4735602
0.2328628,0.292251,0.47488624
0.2328628,0.292251,0.47488624
0.2328628,0.292251,0.47488624
0.23884565,0.28981778,0.4713365
0.23503277,0.2914243,0.4735429
0.23503277,0.2914243,0.4735429
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23884565,0.28981778,0.4713365
0.23073387,0.2895791,0.47968706
0.23575777,0.2909935,0.47324866
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.23493372,0.28011167,0.48495454
0.2350912,0.29124734,0.47366145
0.23493372,0.28011167,0.48495454
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23575777,0.2909935,0.47324866
0.23073387,0.2895791,0.47968706
0.23575777,0.2909935,0.47324866
0.23575777,0.2909935,0.47324866
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.23490466,0.28007928,0.48501602
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23579244,0.2851272,0.4790804
0.23579244,0.2851272,0.4790804
0.23747829,0.28449816,0.4780235
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23661534,0.279496,0.48388863
0.23493372,0.28011167,0.48495454
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.2350912,0.29124734,0.47366145
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.23677361,0.29060677,0.47261968
0.2389279,0.2822276,0.47884446
0.23723494,0.28285542,0.47990963
0.23723494,0.28285542,0.47990963
0.23723494,0.28285542,0.47990963
0.23723494,0.28285542,0.47990963
0.23723494,0.28285542,0.47990963
0.23818798,0.28399172,0.47782028
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
0.2350912,0.29124734,0.47366145
