call_thr,put_thr,skip_ceil,min_edge,pooled_PF,pooled_Net,pooled_MaxDD,pooled_TradeCount,pooled_WR,pooled_Sharpe,pooled_Sortino,per_fold_PF,passes_min_trades_filter,rank
0.4,0.35,0.75,0.08,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.75,0.03,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.7,0.08,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.7,0.05,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.7,0.03,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.65,0.08,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.65,0.05,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.65,0.03,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.6,0.08,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.6,0.05,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.6,0.03,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.4,0.35,0.75,0.05,,0.0,0.0,0,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",False,-1
0.32,0.35,0.6,0.03,10.133754192648837,17127.852416893187,1636.0710992768904,10,0.5,0.5652686369760989,3.080455285711119,"[NaN, NaN, NaN, 1.7865683509625152, NaN, NaN, 24.53835398488345, NaN]",False,1
0.32,0.35,0.6,0.05,10.133754192648837,17127.852416893187,1636.0710992768904,10,0.5,0.5652686369760989,3.080455285711119,"[NaN, NaN, NaN, 1.7865683509625152, NaN, NaN, 24.53835398488345, NaN]",False,2
0.32,0.35,0.65,0.03,10.133754192648837,17127.852416893187,1636.0710992768904,10,0.5,0.5652686369760989,3.080455285711119,"[NaN, NaN, NaN, 1.7865683509625152, NaN, NaN, 24.53835398488345, NaN]",False,3
0.32,0.35,0.65,0.05,10.133754192648837,17127.852416893187,1636.0710992768904,10,0.5,0.5652686369760989,3.080455285711119,"[NaN, NaN, NaN, 1.7865683509625152, NaN, NaN, 24.53835398488345, NaN]",False,4
0.32,0.35,0.7,0.03,10.133754192648837,17127.852416893187,1636.0710992768904,10,0.5,0.5652686369760989,3.080455285711119,"[NaN, NaN, NaN, 1.7865683509625152, NaN, NaN, 24.53835398488345, NaN]",False,5
0.32,0.35,0.7,0.05,10.133754192648837,17127.852416893187,1636.0710992768904,10,0.5,0.5652686369760989,3.080455285711119,"[NaN, NaN, NaN, 1.7865683509625152, NaN, NaN, 24.53835398488345, NaN]",False,6
