feature,mean_abs_shap
vix_extreme_low,0.0
below_vwap,0.0
expiry_is_tue,0.0
above_vwap,3.561871e-07
is_doji,2.1641972e-06
is_bullish,2.4475808e-06
ob_bear,9.330068e-06
bear_eng,1.1186963e-05
liq_sweep_low,1.4849578e-05
bull_eng,1.8950712e-05
vix_above_ma20,2.0423444e-05
is_marubozu,2.7569764e-05
vix_extreme_high,2.7872718e-05
liq_sweep_high,3.0948228e-05
ob_bull,3.1193646e-05
bos_bear,3.5709552e-05
vix_rising,4.492629e-05
is_expiry,4.8555394e-05
bos_bull,5.1208233e-05
tf60_bull_trend,6.388307e-05
vix_ideal,9.678636e-05
choch_bear,0.00010661374
vix_spike,0.000113394286
vix_danger,0.00011778234
day_ema9_bull,0.00012053184
choch_bull,0.00014051722
stx,0.0001712625
mx,0.0001789515
consec_bear,0.0002021542
fvg_bear_prev,0.00023761662
vol_regime,0.0002528504
day_big_gap,0.00026192298
gap_dn,0.00029162847
fvg_bull_prev,0.00030681447
tf15_bb_squeeze,0.00045360957
rl1,0.0004560405
rl2,0.0004663817
dte_norm,0.0004886147
tf60_bear_trend,0.00052480545
prev_br,0.00055970694
roc,0.0005633247
rl3,0.00057712785
body_pct,0.0005925176
tf60_ema_bull,0.00060678914
m3,0.00063317263
inside_bar,0.00063636474
body_ratio,0.0007007596
gap_up,0.0007088096
rl8,0.00071619125
tf30_ema_bull,0.00071763794
lower_wick,0.00074191776
m6,0.0008032573
day_ema_bull,0.0008851763
dow,0.0009388625
close_pos,0.0009769064
vix_pct5,0.0009788306
dte,0.0009982504
m12,0.0010544247
rl13,0.001101358
rsis,0.0011022334
rl5,0.0011232613
de5,0.0011294478
expiry_dow,0.0012080821
log_ret,0.0013004093
m9,0.001337245
dl5,0.0013563901
day_gap_down,0.0016341133
day_ema_dist,0.0017576107
prev_cp,0.0019169089
day_rsi,0.0019904173
tf60_adx,0.0020537653
e9a21,0.0021576395
eslp,0.0022542581
upper_wick,0.002340748
day_gap_up,0.0024146684
de9,0.0025015795
day_ema50_dist,0.0025073583
rv10,0.0028734251
dl10,0.0029571222
st5,0.003041422
bbsq,0.003098773
day_gap_pct,0.0031303898
rv20,0.0031478764
vix_regime,0.003246332
tf15_macd_hist,0.0033463733
rv5,0.0034947973
bbw,0.0035051627
dh10,0.0035367736
ar,0.0035446717
mh,0.0035549689
zscore_20,0.003654199
vov,0.0036643364
intraday_range_atr,0.0037063505
consec_bull,0.003774918
dh5,0.0039039548
vix_pct20,0.0039066146
mslp,0.0039474433
vwap_dist_atr,0.0039969813
bars_above_vwap,0.0041381596
day_move_pct,0.0041594235
tf15_diplus,0.0041876165
tf30_bull_trend,0.0043510953
dist_vwap,0.0043587005
tf30_bear_trend,0.004366858
vix_change1,0.004370927
tf15_bull_trend,0.0045805126
vol_percentile,0.004740315
is_afternoon,0.0050315997
cci20,0.0050570066
below_prev_low,0.0050944495
tf15_bear_trend,0.005318474
vix_rank_30d,0.0054296874
vix_change5,0.0061949734
bbp,0.0062802336
vix_zscore_20d,0.0062917173
wr14,0.0064706593
park,0.0067865727
day_ema9_dist,0.0067910515
tf60_ema_dist,0.0069001713
tf30_adx,0.007712044
tf15_ema_bull,0.007794779
de13,0.007814666
bars_below_vwap,0.008397907
day_move_atr,0.009150707
above_prev_high,0.009590272
a14,0.009989698
st14,0.010476291
dist_from_open,0.0106199905
a10,0.011067173
tf15_diminus,0.0115864305
dow_primary,0.012772464
ava,0.013758264
cmf_proxy,0.014478712
tf15_ema_dist,0.016700294
dow_secondary,0.01806124
hl_range,0.018174436
vix_level,0.019130975
rsi7,0.020346032
tf15_atr_ratio,0.021750405
gkv,0.021997029
dist_prev_low,0.023136899
tf15_trending,0.024177056
is_morning,0.028241457
day_week_pos,0.029886305
dist_week_low,0.03254218
intraday_range_pct,0.03473483
dist_prev_close,0.037754312
dist_prev_high,0.03935448
e9s,0.04114059
dh20,0.046118863
dl20,0.04700362
day_atr_pct,0.04819341
e13s,0.053416744
dist_week_high,0.06103793
tf15_rsi,0.067158096
tf15_bb_pos,0.06835111
tf30_ema_dist,0.070820406
m24,0.07699076
intraday_pos,0.07787739
de21,0.08344767
de50,0.08919718
zscore_50,0.08930829
is_midday,0.09429977
tf30_rsi,0.10080045
tf60_rsi,0.10741794
tf15_sideways,0.11278105
tf15_adx,0.116148695
rsi14,0.21027751
tf60_close_pos,0.21302111
tf30_close_pos,0.48584056
